,club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
110,19,brescia-calcio,Brescia Calcio,IT1,32.4,29,25.6,14,48.3,3,Mario Rigamonti,19550,+£11.75m,Eugenio Corini,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
111,1005,us-lecce,Us Lecce,IT1,29.61,27,25.8,15,55.6,2,Ettore Giardiniero,31559,+£450Th.,Fabio Liverani,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
112,2722,spal,Spal,IT1,23.78,32,25.9,9,28.1,2,Paolo Mazza,16134,+£9.50m,Leonardo Semplici,https://www.transfermarkt.co.uk/spal/startseite/verein/2722
113,128,ao-xanthi,Ao Xanthi,GR1,5.36,30,26.3,8,26.7,1,Xanthi Arena,7361,+-0,Kiko Ramírez,https://www.transfermarkt.co.uk/ao-xanthi/startseite/verein/128
114,5818,hobro-ik,Hobro Ik,DK1,3.6,29,24.2,4,13.8,1,DS Arena,7500,+£241Th.,Peter Sörensen,https://www.transfermarkt.co.uk/hobro-ik/startseite/verein/5818
115,3426,esbjerg-fb,Esbjerg Fb,DK1,6.26,35,22.0,15,42.9,5,Blue Water Arena,16942,+-0,John Lammers,https://www.transfermarkt.co.uk/esbjerg-fb/startseite/verein/3426
116,2477,karpaty-lviv,Karpaty Lviv,UKR1,,0,,0,,0,Stadion Ukraina,28051,+-0,Oleksandr Chyzhevskyi,https://www.transfermarkt.co.uk/karpaty-lviv/startseite/verein/2477
117,989,afc-bournemouth,Afc Bournemouth,GB1,152.64,30,24.9,13,43.3,9,Vitality Stadium,11329,+£15.21m,Eddie Howe,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
118,1244,cd-leganes,Cd Leganes,ES1,32.85,28,27.5,8,28.6,3,Municipal de Butarque,12454,+£2.25m,Mauricio Pellegrino,https://www.transfermarkt.co.uk/cd-leganes/startseite/verein/1244
119,415,fc-toulouse,Fc Toulouse,FR1,24.48,26,23.3,14,53.8,4,Stadium Municipal,33150,+£10.00m,Alain Casanova,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
120,38,fortuna-dusseldorf,Fortuna Dusseldorf,L1,22.95,28,26.3,8,28.6,3,MERKUR SPIEL-ARENA,54600,£-1.64m,Friedhelm Funkel,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
121,1416,amiens-sc,Amiens Sc,FR1,20.97,27,24.7,13,48.1,6,Stade Crédit Agricole la Licorne,12999,+£5.06m,Luka Elsner,https://www.transfermarkt.co.uk/amiens-sc/startseite/verein/1416
122,127,sc-paderborn-07,Sc Paderborn 07,L1,15.48,30,24.9,8,26.7,3,Benteler-Arena,15000,+£3.87m,Steffen Baumgart,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
123,1085,vitoria-setubal-fc,Vitoria Setubal Fc,PO1,2.59,27,25.9,8,29.6,3,Estádio do Bonfim,18642,+-0,Sandro Mendes,https://www.transfermarkt.co.uk/vitoria-setubal-fc/startseite/verein/1085
124,3336,desportivo-aves,Desportivo Aves,PO1,,0,,0,,0,Estádio CD das Aves,5441,+-0,Augusto Inácio,https://www.transfermarkt.co.uk/desportivo-aves/startseite/verein/3336
125,982,cd-nacional,Cd Nacional,PO1,7.34,29,26.7,14,48.3,3,Estádio da Madeira,5586,+£720Th.,Luis Antonio Zaluar,https://www.transfermarkt.co.uk/cd-nacional/startseite/verein/982
